证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
000001,平安银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
000002,万  科Ａ,房地产开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
000009,中国宝安,电池化学品,其他金融业,金融业,cninfo_stock_industry_change,20260423
000021,深科技,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000027,深圳能源,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000032,深桑达Ａ,其他专业工程,建筑安装业,建筑业,cninfo_stock_industry_change,20260423
000034,神州数码,IT服务Ⅲ,批发业,批发和零售业,cninfo_stock_industry_change,20260423
000039,中集集团,金属制品,金属制品业,制造业,cninfo_stock_industry_change,20260423
000050,深天马Ａ,显示器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000060,中金岭南,铅锌,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000062,深圳华强,其他电子,批发业,批发和零售业,cninfo_stock_industry_change,20260423
000063,中兴通讯,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000088,盐 田 港,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000100,TCL科技,面板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000155,川能动力,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000157,中联重科,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000166,申万宏源,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000301,东方盛虹,炼油化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000333,美的集团,空调,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000338,潍柴动力,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000400,许继电气,电网自动化设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000408,藏格矿业,锂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000415,渤海租赁,租赁,租赁业,租赁和商务服务业,cninfo_stock_industry_change,20260423
000423,东阿阿胶,中成药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000425,徐工机械,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000426,兴业银锡,铅锌,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
000429,粤高速Ａ,高速公路,道路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000513,丽珠集团,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
000519,中兵红箭,地面兵装,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000528,柳    工,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000537,绿发电力,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000538,云南白药,中成药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000539,粤电力Ａ,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000559,万向钱潮,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000563,陕国投Ａ,信托,其他金融业,金融业,cninfo_stock_industry_change,20260423
000568,泸州老窖,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000582,北部湾港,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000591,太阳能,光伏发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000596,古井贡酒,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000598,兴蓉环境,水务及水治理,水的生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000617,中油资本,金融控股,货币金融服务,金融业,cninfo_stock_industry_change,20260423
000623,吉林敖东,中药Ⅲ,医药制造业,制造业,cninfo_stock_industry_change,20260423
000625,长安汽车,综合乘用车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000629,钒钛股份,冶钢辅料,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000630,铜陵有色,铜,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000651,格力电器,白色家电,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000657,中钨高新,钨,金属制品业,制造业,cninfo_stock_industry_change,20260423
000661,长春高新,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
000683,博源化工,纯碱,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000703,恒逸石化,炼油化工,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
000708,中信特钢,特钢Ⅲ,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000709,河钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000723,美锦能源,焦炭Ⅲ,石油、煤炭及其他燃料加工业,制造业,cninfo_stock_industry_change,20260423
000725,京东方Ａ,显示器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000728,国元证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000729,燕京啤酒,啤酒,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000733,振华科技,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000738,航发控制,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
000739,普洛药业,化学原料药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000750,国海证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000768,中航西飞,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
000776,广发证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000783,长江证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000785,居然智家,商业物业经营,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
000786,北新建材,其他建材,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
000792,盐湖股份,钾肥,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000807,云铝股份,铝,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000825,太钢不锈,特钢Ⅲ,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000830,鲁西化工,煤化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000831,中国稀土,稀土,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000858,五 粮 液,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000876,新 希 望,生猪养殖,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
000878,云南铜业,铜,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000883,湖北能源,电能综合服务,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000887,中鼎股份,其他汽车零部件,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
000893,亚钾国际,钾肥,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000895,双汇发展,肉制品,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
000898,鞍钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000921,海信家电,空调,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000932,华菱钢铁,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000933,神火股份,铝,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000937,冀中能源,焦煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
000938,紫光股份,IT服务Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000951,中国重汽,商用载货车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000958,电投产融,其他多元金融,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000959,首钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000960,锡业股份,其他稀有小金属,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000963,华东医药,化学制剂,零售业,批发和零售业,cninfo_stock_industry_change,20260423
000967,盈峰环境,环保设备Ⅲ,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000975,山金国际,黄金,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
000977,浪潮信息,其他计算机设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000983,山西焦煤,焦煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
000987,越秀资本,金融控股,其他金融业,金融业,cninfo_stock_industry_change,20260423
000997,新 大 陆,其他计算机设备,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
000999,华润三九,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
001213,中铁特货,铁路运输,铁路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
001221,悍高集团,其他家居用品,金属制品业,制造业,cninfo_stock_industry_change,20260423
001286,陕西能源,火力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
001389,广合科技,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
001391,国货航,跨境物流,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
001696,宗申动力,其他通用设备,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
001965,招商公路,高速公路,道路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
001979,招商蛇口,商业地产,房地产业,房地产业,cninfo_stock_industry_change,20260423
002001,新 和 成,食品及饲料添加剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
002007,华兰生物,疫苗,医药制造业,制造业,cninfo_stock_industry_change,20260423
002008,大族激光,激光设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002025,航天电器,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002027,分众传媒,广告媒体,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
002028,思源电气,输变电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002032,苏 泊 尔,厨房小家电,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002044,美年健康,医院,卫生,卫生和社会工作,cninfo_stock_industry_change,20260423
002049,紫光国微,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002050,三花智控,家电零部件Ⅲ,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
002056,横店东磁,光伏电池组件,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002064,华峰化学,氨纶,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
002065,东华软件,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002074,国轩高科,锂电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002078,太阳纸业,大宗用纸,造纸和纸制品业,制造业,cninfo_stock_industry_change,20260423
002080,中材科技,玻纤制造,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
002085,万丰奥威,轮胎轮毂,汽车制造业,制造业,cninfo_stock_industry_change,20260423
002120,韵达股份,快递,邮政业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
002126,银轮股份,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
002128,电投能源,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
002130,沃尔核材,其他电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002131,利欧股份,金属制品,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
002138,顺络电子,被动元件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002142,宁波银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
002152,广电运通,其他计算机设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002153,石基信息,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002155,湖南黄金,黄金,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
002156,通富微电,集成电路封测,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002157,正邦科技,生猪养殖,畜牧业,农、林、牧、渔业,cninfo_stock_industry_change,20260423
002179,中航光电,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002185,华天科技,集成电路封测,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002195,岩山科技,IT服务Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002202,金风科技,风电整机,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
002203,海亮股份,铜,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002223,鱼跃医疗,医疗设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002230,科大讯飞,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002236,大华股份,安防设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002241,歌尔股份,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002244,滨江集团,房地产开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
002252,上海莱士,血液制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
002261,拓维信息,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002262,恩华药业,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
002265,建设工业,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
002266,浙富控股,固废治理,生态保护和环境治理业,水利、环境和公共设施管理业,cninfo_stock_industry_change,20260423
002271,东方雨虹,防水材料,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
002273,水晶光电,光学元件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002281,光迅科技,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002294,信立泰,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
002299,圣农发展,肉鸡养殖,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
002304,洋河股份,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
002311,海大集团,水产饲料,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
002312,川发龙蟒,磷肥及磷化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
002318,久立特材,特钢Ⅲ,金属制品业,制造业,cninfo_stock_industry_change,20260423
002335,科华数据,其他电源设备Ⅲ,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002340,格林美,电池化学品,废弃资源综合利用业,制造业,cninfo_stock_industry_change,20260423
002352,顺丰控股,快递,邮政业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
002353,杰瑞股份,冶金矿采化工设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002371,北方华创,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002372,伟星新材,管材,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
002384,东山精密,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002385,大北农,畜禽饲料,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
002402,和而泰,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002409,雅克科技,半导体材料,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
002410,广联达,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002414,高德红外,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002415,海康威视,安防设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002422,科伦药业,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
002423,中粮资本,金融控股,保险业,金融业,cninfo_stock_industry_change,20260423
002429,兆驰股份,彩电,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002430,杭氧股份,其他化学制品,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002432,九安医疗,体外诊断,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002436,兴森科技,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002439,启明星辰,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002444,巨星科技,其他通用设备,金属制品业,制造业,cninfo_stock_industry_change,20260423
002459,晶澳科技,光伏电池组件,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002460,赣锋锂业,锂,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002461,珠江啤酒,啤酒,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
002463,沪电股份,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002465,海格通信,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002466,天齐锂业,锂,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002472,双环传动,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
002475,立讯精密,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002493,荣盛石化,炼油化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
002500,山西证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002508,老板电器,厨房电器,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002517,恺英网络,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002532,天山铝业,铝,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002558,巨人网络,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002568,百润股份,其他酒类,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
002583,海能达,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002594,比亚迪,电动乘用车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
002595,豪迈科技,其它专用机械,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002600,领益智造,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002601,龙佰集团,钛白粉,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
002603,以岭药业,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
002607,中公教育,培训教育,教育,教育,cninfo_stock_industry_change,20260423
002608,江苏国信,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
002624,完美世界,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
002625,光启技术,航空装备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
002648,卫星化学,其他化学原料,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
002670,国盛证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002673,西部证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002683,广东宏大,民爆用品,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
002709,天赐材料,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002714,牧原股份,生猪养殖,畜牧业,农、林、牧、渔业,cninfo_stock_industry_change,20260423
002736,国信证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002738,中矿资源,其他小金属,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002739,儒意电影,院线,广播、电视、电影和录音制作业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
002756,永兴材料,锂,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
002773,康弘药业,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
002797,第一创业,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002821,凯莱英,医疗研发外包,医药制造业,制造业,cninfo_stock_industry_change,20260423
002831,裕同科技,纸包装,造纸和纸制品业,制造业,cninfo_stock_industry_change,20260423
002837,英维克,其它专用机械,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
002841,视源股份,品牌消费电子,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002850,科达利,锂电池,金属制品业,制造业,cninfo_stock_industry_change,20260423
002851,麦格米特,其它电源设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
002916,深南电路,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002920,德赛西威,垂直应用软件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002926,华西证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002938,鹏鼎控股,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
002939,长城证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002945,华林证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
002958,青农商行,农商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
002966,苏州银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
002984,森麒麟,轮胎轮毂,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
003021,兆威机电,电机,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
003022,联泓新科,光伏辅材,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
003031,中瓷电子,通信终端及配件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
003035,南网能源,电能综合服务,科技推广和应用服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
003816,中国广核,核力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
300001,特锐德,输变电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300002,神州泰岳,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300003,乐普医疗,医疗耗材,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300012,华测检测,检测服务,专业技术服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
300014,亿纬锂能,锂电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300015,爱尔眼科,医院,卫生,卫生和社会工作,cninfo_stock_industry_change,20260423
300017,网宿科技,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300024,机器人,机器人,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
300033,同花顺,垂直应用软件,其他金融业,金融业,cninfo_stock_industry_change,20260423
300037,新宙邦,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300054,鼎龙股份,电子化学品Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300058,蓝色光标,营销代理,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
300059,东方财富,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
300070,碧水源,水务及水治理,生态保护和环境治理业,水利、环境和公共设施管理业,cninfo_stock_industry_change,20260423
300073,当升科技,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300100,双林股份,车身附件及饰件,汽车制造业,制造业,cninfo_stock_industry_change,20260423
300115,长盈精密,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300122,智飞生物,疫苗,医药制造业,制造业,cninfo_stock_industry_change,20260423
300124,汇川技术,工控设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300136,信维通信,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300140,节能环境,固废治理,生态保护和环境治理业,水利、环境和公共设施管理业,cninfo_stock_industry_change,20260423
300142,沃森生物,疫苗,医药制造业,制造业,cninfo_stock_industry_change,20260423
300144,宋城演艺,人工景区,文化艺术业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
300146,汤臣倍健,保健品,食品制造业,制造业,cninfo_stock_industry_change,20260423
300207,欣旺达,锂电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300223,北京君正,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300251,光线传媒,影视动漫制作,广播、电视、电影和录音制作业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
300274,阳光电源,逆变器,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300285,国瓷材料,电子化学品Ⅲ,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
300308,中际旭创,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300316,晶盛机电,光伏加工设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300339,润和软件,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300346,南大光电,电子化学品Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
