证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
300347,泰格医药,医疗研发外包,研究和试验发展,科学研究和技术服务业,cninfo_stock_industry_change,20260423
300373,扬杰科技,分立器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300383,光环新网,通信应用增值服务,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300390,天华新能,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300394,天孚通信,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300395,菲利华,航空装备Ⅲ,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
300408,三环集团,被动元件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300413,芒果超媒,视频媒体,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300418,昆仑万维,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300432,富临精工,电池化学品,汽车制造业,制造业,cninfo_stock_industry_change,20260423
300433,蓝思科技,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300442,润泽科技,通信应用增值服务,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300450,先导智能,锂电专用设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300454,深信服,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300458,全志科技,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300474,景嘉微,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300476,胜宏科技,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300487,蓝晓科技,合成树脂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
300496,中科创达,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
300498,温氏股份,生猪养殖,畜牧业,农、林、牧、渔业,cninfo_stock_industry_change,20260423
300502,新易盛,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300529,健帆生物,医疗耗材,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300558,贝达药业,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
300567,精测电子,仪器仪表,仪器仪表制造业,制造业,cninfo_stock_industry_change,20260423
300570,太辰光,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300601,康泰生物,疫苗,医药制造业,制造业,cninfo_stock_industry_change,20260423
300604,长川科技,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300623,捷捷微电,分立器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300627,华测导航,通信终端及配件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300628,亿联网络,通信终端及配件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300661,圣邦股份,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300676,华大基因,诊断服务,专业技术服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
300677,英科医疗,医疗耗材,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
300679,电连技术,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300699,光威复材,航空装备Ⅲ,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
300718,长盛轴承,金属制品,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
300724,捷佳伟创,光伏加工设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300735,光弘科技,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300748,金力永磁,磁性材料,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
300750,宁德时代,锂电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300751,迈为股份,光伏加工设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300757,罗博特科,其他自动化设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300759,康龙化成,医疗研发外包,研究和试验发展,科学研究和技术服务业,cninfo_stock_industry_change,20260423
300760,迈瑞医疗,医疗设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300763,锦浪科技,逆变器,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
300782,卓胜微,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300803,指南针,垂直应用软件,其他金融业,金融业,cninfo_stock_industry_change,20260423
300832,新产业,体外诊断,医药制造业,制造业,cninfo_stock_industry_change,20260423
300857,协创数据,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300866,安克创新,品牌消费电子,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300888,稳健医疗,生活用纸,纺织业,制造业,cninfo_stock_industry_change,20260423
300896,爱美客,医美耗材,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
300919,中伟新材,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
300957,贝泰妮,品牌化妆品,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
300972,万辰集团,零食,零售业,批发和零售业,cninfo_stock_industry_change,20260423
300979,华利集团,纺织鞋类制造,皮革、毛皮、羽毛及其制品和制鞋业,制造业,cninfo_stock_industry_change,20260423
300999,金龙鱼,粮油加工,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
301200,大族数控,其他专用设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
301236,软通动力,IT服务,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
301269,华大九天,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
301301,川宁生物,原料药,医药制造业,制造业,cninfo_stock_industry_change,20260423
301308,江波龙,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
301358,湖南裕能,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
301498,乖宝宠物,宠物食品,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
301536,星宸科技,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
301611,珂玛科技,半导体材料,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
302132,中航成飞,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600000,浦发银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600004,白云机场,机场,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600007,中国国贸,商业地产,房地产业,房地产业,cninfo_stock_industry_change,20260423
600008,首创环保,水务及水治理,水的生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600009,上海机场,机场,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600010,包钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600011,华能国际,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600015,华夏银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600016,民生银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600018,上港集团,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600019,宝钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600021,上海电力,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600023,浙能电力,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600025,华能水电,水电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600026,中远海能,航运,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600027,华电国际,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600028,中国石化,炼油化工,石油和天然气开采业,采矿业,cninfo_stock_industry_change,20260423
600029,南方航空,航空运输,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600030,中信证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600031,三一重工,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
600032,浙江新能,光伏发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600036,招商银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600038,中直股份,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600039,四川路桥,基建市政工程,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
600048,保利发展,房地产开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
600050,中国联通,电信运营商,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600060,海信视像,黑色家电,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600061,国投资本,证券Ⅲ,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600062,华润双鹤,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
600066,宇通客车,商用载客车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
600085,同仁堂,中成药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600089,特变电工,输变电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600095,湘财股份,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600096,云天化,磷肥及磷化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600098,广州发展,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600104,上汽集团,综合乘用车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
600109,国金证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600111,北方稀土,稀土,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600115,中国东航,航空运输,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600118,中国卫星,航天装备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600126,杭钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600131,国网信通,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600132,重庆啤酒,啤酒,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
600141,兴发集团,磷肥及磷化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600143,金发科技,改性塑料,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
600150,中国船舶,船舶制造,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600153,建发股份,原材料供应链服务,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
600157,永泰能源,焦煤,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600160,巨化股份,氟化工及制冷剂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600161,天坛生物,血液制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
600166,福田汽车,商用载货车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
600170,上海建工,房屋建设,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
600171,上海贝岭,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600176,中国巨石,玻纤制造,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
600177,雅戈尔,非运动服装,纺织服装、服饰业,制造业,cninfo_stock_industry_change,20260423
600183,生益科技,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600188,兖矿能源,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
600196,复星医药,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
600208,衢州发展,房地产开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
600219,南山铝业,铝,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600233,圆通速递,快递,邮政业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600276,恒瑞医药,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
600282,南钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600295,鄂尔多斯,冶钢辅料,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600298,安琪酵母,调味发酵品Ⅲ,食品制造业,制造业,cninfo_stock_industry_change,20260423
600299,安迪苏,食品及饲料添加剂,食品制造业,制造业,cninfo_stock_industry_change,20260423
600309,万华化学,聚氨酯,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600312,平高电气,输变电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600316,洪都航空,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600329,达仁堂,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600332,白云山,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600339,中油工程,油气及炼化工程,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
600346,恒力石化,炼油化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600348,华阳股份,焦煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
600352,浙江龙盛,纺织化学用品,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600362,江西铜业,铜,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600363,联创光电,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600369,西南证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600372,中航机载,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600377,宁沪高速,高速公路,道路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
600378,昊华科技,氟化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600380,健康元,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
600390,五矿资本,金融控股,其他金融业,金融业,cninfo_stock_industry_change,20260423
600392,盛和资源,稀土,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600398,海澜之家,非运动服装,纺织服装、服饰业,制造业,cninfo_stock_industry_change,20260423
600406,国电南瑞,电网自动化设备,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600415,小商品城,商业物业经营,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
600426,华鲁恒升,氮肥,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600435,北方导航,地面兵装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600436,片仔癀,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600438,通威股份,硅料硅片,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600460,士兰微,分立器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600482,中国动力,其他电源设备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600483,福能股份,电能综合服务,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600486,扬农化工,农药,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600487,亨通光电,通信线缆及配套,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600489,中金黄金,黄金,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
600497,驰宏锌锗,铅锌,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600498,烽火通信,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600499,科达制造,其它专用机械,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
600511,国药股份,医药流通,批发业,批发和零售业,cninfo_stock_industry_change,20260423
600515,海南机场,住宅开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
600516,方大炭素,冶钢辅料,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
600517,国网英大,信托,其他金融业,金融业,cninfo_stock_industry_change,20260423
600519,贵州茅台,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
600521,华海药业,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
600522,中天科技,通信线缆及配套,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600528,中铁工业,铁路设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
600535,天士力,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600536,中国软件,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600546,山煤国际,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
600547,山东黄金,黄金,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
600549,厦门钨业,钨,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600562,国睿科技,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600563,法拉电子,被动元件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600566,济川药业,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
600570,恒生电子,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600578,京能电力,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600580,卧龙电驱,电机,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600582,天地科技,冶金矿采化工设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
600583,海油工程,油气及炼化工程,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
600584,长电科技,集成电路封测,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600585,海螺水泥,水泥制造,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
600588,用友网络,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600598,北大荒,粮食种植,农业,农、林、牧、渔业,cninfo_stock_industry_change,20260423
600600,青岛啤酒,啤酒,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
600601,方正科技,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600602,云赛智联,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600606,绿地控股,房地产开发,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
600637,东方明珠,电视广播Ⅲ,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600642,申能股份,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600655,豫园股份,商业物业经营,零售业,批发和零售业,cninfo_stock_industry_change,20260423
600660,福耀玻璃,车身附件及饰件,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
600663,陆家嘴,商业地产,房地产业,房地产业,cninfo_stock_industry_change,20260423
600673,东阳光,综合Ⅲ,综合,综合,cninfo_stock_industry_change,20260423
600674,川投能源,水电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600685,中船防务,船舶制造,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600688,上海石化,炼油化工,石油、煤炭及其他燃料加工业,制造业,cninfo_stock_industry_change,20260423
600690,海尔智家,冰洗,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600699,均胜电子,汽车电子电气系统,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600704,物产中大,原材料供应链服务,批发业,批发和零售业,cninfo_stock_industry_change,20260423
600707,彩虹股份,面板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600720,中交设计,工程咨询服务Ⅲ,专业技术服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
600737,中粮糖业,其他农产品加工,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
600739,辽宁成大,疫苗,批发业,批发和零售业,cninfo_stock_industry_change,20260423
600741,华域汽车,车身附件及饰件,汽车制造业,制造业,cninfo_stock_industry_change,20260423
600754,锦江酒店,酒店,住宿业,住宿和餐饮业,cninfo_stock_industry_change,20260423
600760,中航沈飞,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600763,通策医疗,医院,卫生,卫生和社会工作,cninfo_stock_industry_change,20260423
600764,中国海防,航海装备Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600765,中航重机,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600795,国电电力,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600801,华新建材,水泥制造,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
600803,新奥股份,燃气,燃气生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600808,马钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
600809,山西汾酒,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
600816,建元信托,信托,其他金融业,金融业,cninfo_stock_industry_change,20260423
600820,隧道股份,基建市政工程,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
600845,宝信软件,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600848,上海临港,产业地产,房地产业,房地产业,cninfo_stock_industry_change,20260423
600862,中航高科,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600863,华能蒙电,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600871,石化油服,油田服务,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
600873,梅花生物,食品及饲料添加剂,食品制造业,制造业,cninfo_stock_industry_change,20260423
600875,东方电气,综合电力设备商,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
600879,航天电子,航天装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600884,杉杉股份,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
600885,宏发股份,电网自动化设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
600886,国投电力,水电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600887,伊利股份,乳品,食品制造业,制造业,cninfo_stock_industry_change,20260423
600893,航发动力,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600900,长江电力,水电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600901,江苏金租,租赁,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600905,三峡能源,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600906,财达证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600909,华安证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600918,中泰证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600919,江苏银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600926,杭州银行,城商行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
600927,永安期货,期货,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600930,华电新能,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600938,中国海油,油气开采Ⅲ,石油和天然气开采业,采矿业,cninfo_stock_industry_change,20260423
600941,中国移动,电信运营商,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600958,东方证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
600959,江苏有线,电视广播Ⅲ,电信、广播电视和卫星传输服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
600967,内蒙一机,地面兵装,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
600968,海油发展,油田服务,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
600970,中材国际,国际工程承包,土木工程建筑业,建筑业,cninfo_stock_industry_change,20260423
600977,中国电影,影视动漫制作,广播、电视、电影和录音制作业,文化、体育和娱乐业,cninfo_stock_industry_change,20260423
600985,淮北矿业,焦煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
600988,赤峰黄金,黄金,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
600989,宝丰能源,煤化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
600995,南网储能,电能综合服务,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
600998,九州通,医药流通,批发业,批发和零售业,cninfo_stock_industry_change,20260423
600999,招商证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
601000,唐山港,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
601001,晋控煤业,动力煤,煤炭开采和洗选业,采矿业,cninfo_stock_industry_change,20260423
